instant,dteday,season_hour,yr_hour,mnth_hour,hr,holiday_hour,weekday_hour,workingday_hour,weathersit_hour,temp_hour,atemp_hour,hum_hour,windspeed_hour,casual_hour,registered_hour,cnt_hour,season_day,yr_day,mnth_day,holiday_day,weekday_day,workingday_day,weathersit_day,temp_day,atemp_day,hum_day,windspeed_day,casual_day,registered_day,cnt_day,month
1,2011-01-01,1,0,1,0,0,6,0,1,0.24,0.2879,0.81,0.0,3,13,16.0,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985.0,2011-01
2,2011-01-01,1,0,1,1,0,6,0,1,0.22,0.2727,0.8,0.0,8,32,40.0,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985.0,2011-01
3,2011-01-01,1,0,1,2,0,6,0,1,0.22,0.2727,0.8,0.0,5,27,32.0,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985.0,2011-01
4,2011-01-01,1,0,1,3,0,6,0,1,0.24,0.2879,0.75,0.0,3,10,13.0,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985.0,2011-01
5,2011-01-01,1,0,1,4,0,6,0,1,0.24,0.2879,0.75,0.0,0,1,1.0,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985.0,2011-01
6,2011-01-01,1,0,1,5,0,6,0,2,0.24,0.2576,0.75,0.0896,0,1,1.0,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985.0,2011-01
7,2011-01-01,1,0,1,6,0,6,0,1,0.22,0.2727,0.8,0.0,2,0,2.0,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985.0,2011-01
8,2011-01-01,1,0,1,7,0,6,0,1,0.2,0.2576,0.86,0.0,1,2,3.0,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985.0,2011-01
9,2011-01-01,1,0,1,8,0,6,0,1,0.24,0.2879,0.75,0.0,1,7,8.0,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985.0,2011-01
10,2011-01-01,1,0,1,9,0,6,0,1,0.32,0.3485,0.76,0.0,8,6,14.0,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985.0,2011-01
11,2011-01-01,1,0,1,10,0,6,0,1,0.38,0.3939,0.76,0.2537,12,24,36.0,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985.0,2011-01
12,2011-01-01,1,0,1,11,0,6,0,1,0.36,0.3333,0.81,0.2836,26,30,56.0,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985.0,2011-01
13,2011-01-01,1,0,1,12,0,6,0,1,0.42,0.4242,0.77,0.2836,29,55,84.0,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985.0,2011-01
14,2011-01-01,1,0,1,13,0,6,0,2,0.46,0.4545,0.72,0.2985,47,47,94.0,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985.0,2011-01
15,2011-01-01,1,0,1,14,0,6,0,2,0.46,0.4545,0.72,0.2836,35,71,106.0,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985.0,2011-01
16,2011-01-01,1,0,1,15,0,6,0,2,0.44,0.4394,0.77,0.2985,40,70,110.0,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985.0,2011-01
17,2011-01-01,1,0,1,16,0,6,0,2,0.42,0.4242,0.82,0.2985,41,52,93.0,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985.0,2011-01
18,2011-01-01,1,0,1,17,0,6,0,2,0.44,0.4394,0.82,0.2836,15,52,67.0,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985.0,2011-01
